android.permission.RUN_INSTRUMENTATION,1
android.permission.RUN_USER_INITIATED_JOBS,1
android.permission.SENSOR,1
android.permission.SET_ACTIVITY_WATCHER,1
android.permission.SET_PROCESS_LIMIT,1
android.permission.SMARTCARD,1
android.permission.SOUND_TRIGGER_RUN_IN_BATTERY_SAVER,1
android.permission.START_FOREGROUND_SERVICES_FROM_BACKGROUND,1
android.permission.STATUS_BAR,1
android.permission.STATUS_BAR_SERVICE,1
android.permission.STORAGE,1
android.permission.SUBSCRIBE_TO_KEYGUARD_LOCKED_STATE,1
android.permission.SUBSTITUTE_SHARE_TARGET_APP_NAME_AND_ICON,1
android.permission.UPDATE_APP_BADGE,1
android.permission.UPDATE_DEVICE_STATS,1
android.permission.USER_ACTIVITY,1
android.permission.WHITELIST_AUTO_REVOKE_PERMISSIONS,1
android.permission.WRITE_EMBEDDED_SUBSCRIPTIONS,1
android.permission.WRITE_MMS,1
android.permission.WRITE_OWER_DATA,1
android.permission.WRITE_SOCIAL_STREAM,1
android.permission.WRITE_USER_DICTIONARY,1
android.permission.health.READ_BASAL_METABOLIC_RATE,1
android.permission.health.READ_BLOOD_GLUCOSE,1
android.permission.health.READ_BLOOD_PRESSURE,1
android.permission.health.READ_BODY_FAT,1
android.permission.health.READ_BODY_TEMPERATURE,1
android.permission.health.READ_DISTANCE,1
android.permission.health.READ_EXERCISE,1
android.permission.health.READ_HEART_RATE,1
android.permission.health.READ_HEIGHT,1
android.permission.health.READ_HYDRATION,1
android.permission.health.READ_NUTRITION,1
android.permission.health.READ_OXYGEN_SATURATION,1
android.permission.health.READ_POWER,1
android.permission.health.READ_RESPIRATORY_RATE,1
android.permission.health.READ_SLEEP,1
android.permission.health.READ_SPEED,1
android.permission.health.READ_STEPS,1
android.permission.health.READ_TOTAL_CALORIES_BURNED,1
android.permission.health.READ_WEIGHT,1
android.permission.health.WRITE_BASAL_METABOLIC_RATE,1
android.permission.health.WRITE_BLOOD_GLUCOSE,1
android.permission.health.WRITE_BLOOD_PRESSURE,1
android.permission.health.WRITE_BODY_FAT,1
android.permission.health.WRITE_BODY_TEMPERATURE,1
android.permission.health.WRITE_DISTANCE,1
android.permission.health.WRITE_EXERCISE,1
android.permission.health.WRITE_HEART_RATE,1
android.permission.health.WRITE_HEIGHT,1
android.permission.health.WRITE_HYDRATION,1
android.permission.health.WRITE_NUTRITION,1
android.permission.health.WRITE_OXYGEN_SATURATION,1
android.permission.health.WRITE_POWER,1
android.permission.health.WRITE_RESPIRATORY_RATE,1
android.permission.health.WRITE_SLEEP,1
android.permission.health.WRITE_SPEED,1
android.permission.health.WRITE_STEPS,1
android.permission.health.WRITE_TOTAL_CALORIES_BURNED,1
android.permission.health.WRITE_WEIGHT,1
android.permission.music.ACCESS_DOWNLOAD_MANAGER,1
android.permission.sec.MDM_EMAIL,1
android.permission.sec.MDM_EXCHANGE,1
android.permission.sec.MDM_LDAP,1
android.permission.sec.MDM_REMOTE_CONTROL,1
android.permission.sec.MDM_SECURITY,1
android.permission.sec.SMIME_CERTIFICATE,1
android.permission.smartmultiwindow.SMARTMULTIWINDOW_OP,1
android.vending.BILLING,1
androidd.permission.BLUETOOTH_SCAN,1
androidx.car.app.MAP_TEMPLATES,1
app.awarefy.awarefyapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
app.awarefy.awarefyapp.permission.C2D_MESSAGE,1
app.aworld.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
app.aworld.permission.C2D_MESSAGE,1
app.meditasyon.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
app.meditasyon.permission.C2D_MESSAGE,1
backlog.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
baidu.push.permission.WRITE_PUSHINFOPROVIDER.com.microsoft.teams,1
bef.ayp.idea.permission.C2D_MESSAGE,1
br.com.lojong.BIND_GET_INSTALL_REFERRER_SERVICE,1
br.com.lojong.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
br.com.tapps.myboo.BIND_GET_INSTALL_REFERRER_SERVICE,1
br.com.tapps.myboo.permission.C2D_MESSAGE,1
bz.grail.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
ch.publisheria.bring.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
cloud.blynk.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
cn.org.ifaa.permission.USE_IFAA_MANAGER,1
codes.hulu_young_tubi.Android.permission.C2D_MESSAGE,1
com.AirCanadaApp.permission.C2D_MESSAGE,1
com.BuilderTREND.btMobileApp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.COMICSMART.GANMA.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.CarXTech.highWay.permission.C2D_MESSAGE,1
com.KindGame.DungeonAndEvil.permission.C2D_MESSAGE,1
com.RightAppsLtd.ExpressVpnPlus.permission.C2D_MESSAGE,1
com.accuweather.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.activision.callofduty.shooter.permission.C2D_MESSAGE,1
com.addenergie.reseauver.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.addenergie.reseauver.permission.MAPS_RECEIVE,1
com.adjust.preinstall.READ_PERMISSION,1
com.adobe.premiererush.videoeditor.permission.C2D_MESSAGE,1
com.agaplab.library.permission.C2D_MESSAGE,1
com.aige.hipaint.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.aige.hipaint.permission.PROCESS_PUSH_MSG,1
com.aige.hipaint.permission.PUSH_PROVIDER,1
com.ajaxsystems.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.ajaxsystems.permission.MAPS_RECEIVE,1
com.alibaba.aliexpresshd.permission.MIPUSH_RECEIVE,1
com.alibaba.aliexpresshd.permission.PROCESS_PUSH_MSG,1
com.alibaba.aliexpresshd.permission.PUSH_PROVIDER,1
com.aloha.browser.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,1
com.amazon.SHOW_CONTENT_LIBRARY,1
com.amazon.alexa.handsfree.protocols.permission.DATA_SYNC,1
com.amazon.avod.SDK_ACCESS,1
com.amazon.dcp.messaging.permission.HANDLE_DEVICE_MESSAGE,1
com.amazon.dcp.sso.permission.AMAZON_ACCOUNT_PROPERTY,1
com.amazon.device.environment.permission.SWITCH_STAGE,1
com.amazon.device.permission.COMRADE_CAPABILITIES,1
com.amazon.kindle.cms.CMS_ACCESS,1
com.amazon.kindle.permission.LIBRARY_ACCESS,1
com.amazon.kindle.permission.RECEIVE_ADM_MESSAGE,1
com.amazon.kindle.socialsharing.PERMISSION_SHARE,1
com.amazon.kindle.tablet.permission.ftue,1
com.amazon.kor.demo.provider.permission.READ_PROVIDER,1
com.amazon.whisperjoin.deviceprovisioningservice.AllowListPolicyUpdate.Permission,1
com.amego.mailchimp.permission.C2D_MESSAGE,1
com.anddoes.launcher.permission.READ_SETTINGS,1
com.anddoes.launcher.permission.WRITE_SETTINGS,1
com.android.BBKClock.permission.READ_ALARM_PROVIDER,1
com.android.BBKClock.permission.WRITE_ALARM_PROVIDER,1
com.android.browser.permission.PRELOAD,1
com.android.chrome.PRERENDER_URL,1
com.android.chrome.permission.TRANSLATE,1
com.android.gallery3d.filtershow.permission.READ,1
com.android.gallery3d.filtershow.permission.WRITE,1
com.android.launcher.permission.READ_SETTING,1
com.android.launcher.permission.WRITE_SETTING,1
com.android.launcher2.permission.INSTALL_SHORTCUT,1
com.android.launcher2.permission.UNINSTALL_SHORTCUT,1
com.android.launcher3.permission.INSTALL_SHORTCUT,1
com.android.launcher3.permission.UNINSTALL_SHORTCUT,1
com.android.mylauncher.permission.READ_SETTINGS,1
com.android.mylauncher.permission.WRITE_SETTINGS,1
com.android.permission.GET_INSTALLED_APPS,1
com.android.providers.media.MediaProvider,1
com.android.settings.permission.CLOUD_SETTINGS_PROVIDER,1
com.android.vending.p2p.APP_INSTALL_API,1
com.aniplex.fategrandorder.permission.RECEIVE,1
